INSERT INTO client_program (cp_client_id, cp_program, cp_referral_date)
VALUES
(1, 1, 1581120000),
(2, 1, 1581120000),
(3, 1, 1581120000),
(4, 1, 1581120000),
(5, 1, 1581120000),
(6, 1, 1581120000),
(7, 1, 1581120000),
(8, 1, 1581120000),
(9, 1, 1581120000),
(10, 1, 1581120000),
(11, 1, 1581120000),
(12, 1, 1581120000),
(13, 1, 1581120000),
(14, 1, 1581120000),
(15, 1, 1581120000),
(16, 1, 1581120000),
(17, 1, 1581120000),
(18, 1, 1581120000),
(19, 1, 1581120000),
(20, 1, 1581120000),
(21, 1, 1581120000),
(22, 1, 1581120000),
(23, 1, 1581120000),
(24, 1, 1581120000),
(25, 1, 1581120000),
(26, 1, 1581120000),
(27, 1, 1581120000),
(28, 1, 1581120000),
(29, 1, 1581120000),
(30, 1, 1581120000),
(31, 1, 1581120000),
(32, 1, 1581120000),
(33, 1, 1581120000),
(34, 1, 1581120000),
(35, 1, 1581120000),
(36, 1, 1581120000),
(37, 1, 1581120000),
(38, 1, 1581120000),
(39, 1, 1581120000),
(40, 1, 1581120000),
(41, 1, 1581120000),
(42, 1, 1581120000),
(43, 1, 1581120000),
(44, 1, 1581120000),
(45, 1, 1581120000),
(46, 1, 1581120000),
(47, 1, 1581120000),
(48, 1, 1581120000),
(49, 1, 1581120000),
(50, 1, 1581120000),
(51, 1, 1581120000),
(52, 1, 1581120000),
(53, 1, 1581120000),
(54, 1, 1581120000),
(55, 1, 1581120000),
(56, 1, 1581120000),
(57, 1, 1581120000),
(58, 1, 1581120000),
(59, 1, 1581120000),
(60, 1, 1581120000),
(61, 1, 1581120000),
(62, 1, 1581120000),
(63, 1, 1581120000),
(64, 1, 1581120000),
(65, 1, 1581120000),
(66, 1, 1581120000),
(67, 1, 1581120000),
(68, 1, 1581120000),
(69, 1, 1581120000),
(70, 1, 1581120000),
(71, 1, 1581120000),
(72, 1, 1581120000),
(73, 1, 1581120000),
(74, 1, 1581120000),
(75, 1, 1581120000),
(76, 1, 1581120000),
(77, 1, 1581120000),
(78, 1, 1581120000),
(79, 1, 1581120000),
(80, 1, 1581120000),
(81, 1, 1581120000),
(82, 1, 1581120000),
(83, 1, 1581120000),
(84, 1, 1581120000),
(85, 1, 1581120000),
(86, 1, 1581120000),
(87, 1, 1581120000),
(88, 1, 1581120000),
(89, 1, 1581120000),
(90, 1, 1581120000),
(91, 1, 1581120000),
(92, 1, 1581120000),
(93, 1, 1581120000),
(94, 1, 1581120000),
(95, 1, 1581120000),
(96, 1, 1581120000),
(97, 1, 1581120000),
(98, 1, 1581120000),
(99, 1, 1581120000),
(100, 1, 1581120000),
(101, 1, 1581120000),
(102, 1, 1581120000),
(103, 1, 1581120000),
(104, 1, 1581120000),
(105, 2, 1581120000),
(106, 2, 1581120000),
(107, 2, 1581120000),
(108, 2, 1581120000),
(109, 2, 1581120000),
(110, 2, 1581120000),
(111, 2, 1581120000),
(112, 2, 1581120000),
(113, 2, 1581120000),
(114, 2, 1581120000),
(115, 2, 1581120000),
(116, 2, 1581120000),
(117, 2, 1581120000),
(118, 2, 1581120000),
(119, 2, 1581120000),
(120, 2, 1581120000),
(121, 2, 1581120000),
(122, 2, 1581120000),
(123, 2, 1581120000),
(124, 2, 1581120000),
(125, 2, 1581120000),
(126, 2, 1581120000),
(127, 2, 1581120000),
(128, 2, 1581120000),
(129, 2, 1581120000),
(130, 2, 1581120000),
(131, 2, 1581120000),
(132, 2, 1581120000),
(133, 2, 1581120000),
(134, 2, 1581120000),
(135, 2, 1581120000),
(136, 2, 1581120000),
(137, 2, 1581120000),
(138, 2, 1581120000),
(139, 2, 1581120000),
(140, 2, 1581120000),
(141, 2, 1581120000),
(142, 2, 1581120000),
(143, 2, 1581120000),
(144, 2, 1581120000),
(145, 2, 1581120000),
(146, 2, 1581120000),
(147, 2, 1581120000),
(148, 2, 1581120000),
(149, 2, 1581120000),
(150, 2, 1581120000),
(151, 2, 1581120000),
(152, 2, 1581120000),
(153, 2, 1581120000),
(154, 2, 1581120000),
(155, 2, 1581120000),
(156, 2, 1581120000),
(157, 2, 1581120000),
(158, 2, 1581120000),
(159, 2, 1581120000),
(160, 2, 1581120000),
(161, 2, 1581120000),
(162, 2, 1581120000),
(163, 2, 1581120000),
(164, 2, 1581120000),
(165, 2, 1581120000);
